Price,max,min
1928-01-31 00:00:00+00:00,0.9153309588224356,-1.6495961856499042
1928-02-29 00:00:00+00:00,0.9439518596479513,-1.7867403984236807
1928-03-31 00:00:00+00:00,1.7414243293933485,-0.5774210362640586
1928-04-30 00:00:00+00:00,1.7801054753786794,-1.9190914214525123
1928-05-31 00:00:00+00:00,2.0144595937662717,-1.6674848590750857
1928-06-30 00:00:00+00:00,2.9989053025331502,-3.5622122052779703
1928-07-31 00:00:00+00:00,1.6333054834968053,-2.470404192986375
1928-08-31 00:00:00+00:00,1.7773139963601858,-1.231399558422852
1928-09-30 00:00:00+00:00,0.8987726563069565,-1.2616844045636233
1928-10-31 00:00:00+00:00,1.6166299659892802,-1.1866738050778425
1928-11-30 00:00:00+00:00,1.4763358334811016,-1.484940118801037
1928-12-31 00:00:00+00:00,1.927388236078631,-3.7799228841547183
1929-01-31 00:00:00+00:00,1.8891132536602129,-2.4144884195540617
1929-02-28 00:00:00+00:00,2.209488528554693,-3.0600262599033035
1929-03-31 00:00:00+00:00,3.0390133861406543,-4.070446337509792
1929-04-30 00:00:00+00:00,1.7699059368718295,-2.5460301934849383
1929-05-31 00:00:00+00:00,2.221321615413352,-3.6624205635258256
1929-06-30 00:00:00+00:00,1.851135891195943,-1.0184105831921864
1929-07-31 00:00:00+00:00,1.4069631172584085,-1.674806506601112
1929-08-31 00:00:00+00:00,3.136015938391701,-3.698677224243952
1929-09-30 00:00:00+00:00,2.611216808475758,-2.762604324406126
1929-10-31 00:00:00+00:00,12.530589465012532,-12.94027932433418
1929-11-30 00:00:00+00:00,8.946772012218274,-9.92132269964201
1929-12-31 00:00:00+00:00,3.34128319856255,-5.406609159279386
1930-01-31 00:00:00+00:00,1.550023060193384,-1.2587433480663046
1930-02-28 00:00:00+00:00,1.3037776361427111,-1.8638938485649457
1930-03-31 00:00:00+00:00,1.5257766566325603,-2.8169044353875905
1930-04-30 00:00:00+00:00,5.051764968836769,-2.2116882807737714
1930-05-31 00:00:00+00:00,3.3942589303010973,-3.0041134368555378
1930-06-30 00:00:00+00:00,4.682780848914181,-7.637020419854901
1930-07-31 00:00:00+00:00,3.941612668433736,-3.8125856970758982
1930-08-31 00:00:00+00:00,2.6785759901514217,-3.7511824701433327
1930-09-30 00:00:00+00:00,1.5223581724805646,-2.830680060579671
1930-10-31 00:00:00+00:00,4.464765556177319,-4.170955009063837
1930-11-30 00:00:00+00:00,2.6022310543785787,-3.418273371777447
1930-12-31 00:00:00+00:00,4.639889859859414,-3.346720308188733
1931-01-31 00:00:00+00:00,7.554667847057184,-6.447607329753158
1931-02-28 00:00:00+00:00,4.240925674834473,-1.6724389444948362
1931-03-31 00:00:00+00:00,2.598156875683588,-3.1958121227140035
1931-04-30 00:00:00+00:00,5.010440311501752,-3.4663161170273797
1931-05-31 00:00:00+00:00,3.2775904840780745,-4.155120811848967
1931-06-30 00:00:00+00:00,10.514367334130467,-4.761911040208133
1931-07-31 00:00:00+00:00,2.463769187598719,-3.907285680018402
1931-08-31 00:00:00+00:00,3.247229329813295,-2.187723485868731
1931-09-30 00:00:00+00:00,6.666669021418015,-7.291667701469484
1931-10-31 00:00:00+00:00,12.358278801614109,-9.072166306646412
1931-11-30 00:00:00+00:00,3.690376361443093,-3.679248389505052
1931-12-31 00:00:00+00:00,8.290153936256871,-4.101328759377843
1932-01-31 00:00:00+00:00,7.019863835521378,-6.896551116650462
1932-02-29 00:00:00+00:00,8.266665140787754,-5.733944778540312
1932-03-31 00:00:00+00:00,4.3113729368941645,-5.555553501993227
1932-04-30 00:00:00+00:00,4.515049833868501,-4.67421992040602
1932-05-31 00:00:00+00:00,7.21831578592127,-7.453419031074782
1932-06-30 00:00:00+00:00,7.658640951545736,-5.773190484060509
1932-07-31 00:00:00+00:00,5.384619616898001,-3.26087170602698
1932-08-31 00:00:00+00:00,9.264700293128625,-8.015770339187867
1932-09-30 00:00:00+00:00,11.811031308677734,-6.857147216796877
1932-10-31 00:00:00+00:00,7.165109543308845,-8.547007211720526
1932-11-30 00:00:00+00:00,7.514450508575754,-4.463042792975536
1932-12-31 00:00:00+00:00,5.04587042249085,-3.8633020526741335
1933-01-31 00:00:00+00:00,4.68521486436182,-2.620690444420126
1933-02-28 00:00:00+00:00,3.8732442548886192,-6.271184399634144
1933-03-31 00:00:00+00:00,16.609585014510863,-4.615387549767124
1933-04-30 00:00:00+00:00,9.523813976070649,-4.859336395131897
1933-05-31 00:00:00+00:00,7.662840195606768,-4.576654794112189
1933-06-30 00:00:00+00:00,8.868499983133283,-6.972306373377057
1933-07-31 00:00:00+00:00,8.808294456691224,-8.879315972186252
1933-08-31 00:00:00+00:00,5.490200294984571,-2.6717532939075084
1933-09-30 00:00:00+00:00,4.409008196589315,-6.173993202237749
1933-10-31 00:00:00+00:00,6.411580978980713,-6.497465162811078
1933-11-30 00:00:00+00:00,4.697284058965345,-3.196809602213968
1933-12-31 00:00:00+00:00,3.2460676413717198,-2.979138492077016
1934-01-31 00:00:00+00:00,5.660383969937,-1.412178715706236
1934-02-28 00:00:00+00:00,3.144110186449578,-3.9532841826904086
1934-03-31 00:00:00+00:00,3.2649199540777385,-3.419592384425596
1934-04-30 00:00:00+00:00,1.4719397340994478,-3.148149505400666
1934-05-31 00:00:00+00:00,2.711159799217256,-4.9418535880703445
1934-06-30 00:00:00+00:00,4.737384514313114,-2.393335592645096
1934-07-31 00:00:00+00:00,2.870822184792665,-7.828005094114099
1934-08-31 00:00:00+00:00,3.397510683204508,-2.1905783872751217
