2024-09-24,8000
2024-09-23,14000
2024-09-22,10000
2024-09-21,1000
2024-09-20,7000
2024-09-19,6000
2024-09-18,6000
2024-09-17,6000
2024-09-16,6000
2024-09-15,6000
2024-09-14,6000
2024-09-11,31000
2024-08-30,6000
2024-08-28,4000
2024-08-22,6000
2024-08-21,2000
2024-08-18,6000
2024-08-15,10000
2024-08-13,6000
2024-08-12,6000
2024-08-11,6000
2024-08-09,6000
2024-08-08,6000
2024-08-07,6000
2024-08-06,6000
2024-08-05,6000
2024-05-22,6000
2024-05-13,6000
2024-05-12,0
2024-05-10,6000
2024-05-09,6000
2024-05-08,6000
2024-05-07,6000
2024-05-06,6000
2024-05-05,6000
2024-05-03,6000
2024-05-02,6000
2024-05-01,6000
2024-04-30,6000
2024-04-29,6000
2024-04-28,6000
2024-04-26,6000
2024-04-25,6000
2024-04-24,6000
2024-04-22,6000
2024-04-21,6000
2024-04-19,6000
2024-04-18,7000
2024-04-17,5000
2024-04-16,6000
2024-04-15,10000
2024-04-14,4000
